car_id,year,make,model_trim_as_listed,hvt_url,hvt_spec,edition_date,v1_value,v1_hi,v1_lo,v2_value,v2_hi,v2_lo,v3_value,v3_hi,v3_lo,v4_value,v4_hi,v4_lo,quarterly_change,annual_change,three_year_change,trend_1_date,trend_1_value,trend_2_date,trend_2_value,trend_3_date,trend_3_value,trend_4_date,trend_4_value,exact_match,notes
25,1972,Datsun,240Z,https://www.hagerty.com/valuation-tools/datsun/240z/1972/1972-datsun-240z-base?id=aCn1I000000DO2VSAW,"2dr Coupe, 6-cyl. 2393cc/151hp 2x1bbl",Jul 2026,"$151,000","$181,233","$120,767","$60,300","$90,533","$48,167","$23,900","$36,033","$19,267","$10,000","$14,633","$5,367",-10.2%,-0.8%,-16.1%,Jul 2026,"$23,900",Apr 2026,"$26,600",Jan 2026,"$25,300",Oct 2025,"$25,300",yes,-15% for auto transmission
26,1967,Volkswagen,Beetle,https://www.hagerty.com/valuation-tools/volkswagen/beetle/1967/1967-volkswagen-beetle-base?id=aCn1I000000DSBeSAO,"2dr Sedan, 4-cyl. 1493cc/53hp 1bbl",Jul 2026,"$75,000","$84,733","$65,267","$45,800","$55,533","$36,633","$18,300","$27,467","$15,067","$8,600","$11,833","$5,367",+5.2%,-6.2%,-14.5%,Jul 2026,"$18,300",Apr 2026,"$17,400",Jan 2026,"$17,600",Oct 2025,"$18,700",yes,+7% for sunroof (not applied). Value-history chart tooltips could not be reliably verified.
27,1973,BMW,2002tii,https://www.hagerty.com/valuation-tools/bmw/2002tii/1973/1973-bmw-2002tii-base?id=aCn1I000000CwmMSAS,"2dr Sedan, 4-cyl. 1990cc/130hp MFI",Jul 2026,"$121,000","$135,067","$106,933","$78,800","$92,867","$64,167","$34,900","$49,533","$27,400","$12,400","$19,900","$4,900",0%,-3.1%,-9.4%,Jul 2026,"$34,900",Apr 2026,"$34,900",Jan 2026,"$34,200",Oct 2025,"$36,000",yes,"-15% for auto transmission, +15% for sunroof (not applied). Value-history chart tooltips could not be reliably verified. | -15% for auto transmission; +15% for sunroof"
28,1964,Ferrari,250 GT Lusso,https://www.hagerty.com/valuation-tools/ferrari/250_gt/1964/1964-ferrari-250_gt-lusso?id=aCn1I000000DWdOSAW,"2dr Coupe, 12-cyl. 2953cc/240hp 3 Weber Carbs",Jul 2026,"$2,200,000","$2,400,000","$2,000,000","$1,600,000","$1,800,000","$1,400,000","$1,000,000","$1,200,000","$935,000","$805,000","$870,000","$740,000",0%,0%,-20%,Jul 2026,"$1,000,000",Apr 2026,"$1,000,000",Jan 2026,"$1,000,000",Oct 2025,"$1,000,000",yes,No adjustments available. Value-history chart tooltips could not be reliably verified.
29,1972,Ferrari,365 GTB/4 Daytona coupe,https://www.hagerty.com/valuation-tools/ferrari/365_gtb!!4/1972/1972-ferrari-365_gtb!!4-daytona?id=aCn1I000000DOEWSA4,"2dr Coupe, 12-cyl. 4390cc/352hp 6 Weber Carbs",Jul 2026,"$790,000","$830,000","$750,000","$670,000","$710,000","$621,667","$525,000","$573,333","$501,000","$453,000","$477,000","$429,000",+1.9%,-3.7%,-15.3%,Jul 2026,"$525,000",Apr 2026,"$515,000",Jan 2026,"$545,000",Oct 2025,"$545,000",yes,"+$8k for wire wheels, -$25k for no a/c, +6% for original plexiglass headlights (not applied). Value-history chart tooltips could not be reliably verified. | +$8k for wire wheels; -$25k for no a/c; +6% for original plexiglass headlights"
30,1969,Lamborghini,Miura P400S,https://www.hagerty.com/valuation-tools/lamborghini/miura/1969/1969-lamborghini-miura-p400_s?id=aCn1I000000D3C5SAK,"2dr Coupe, 12-cyl. 3929cc/370hp 4x3bbl Weber",Jul 2026,"$3,600,000","$3,833,333","$3,366,667","$2,900,000","$3,133,333","$2,666,667","$2,200,000","$2,433,333","$2,016,667","$1,650,000","$1,833,333","$1,466,667",0%,+7.3%,+37.5%,Jul 2026,"$2,200,000",Apr 2026,"$2,200,000",Jan 2026,"$2,050,000",Oct 2025,"$2,050,000",yes,Value-history chart tooltips could not be reliably verified. | +$50k for vented disc brakes; +$150k for factory a/c; SPEC DIFFERS
31,1979,Porsche,930 Turbo,https://www.hagerty.com/valuation-tools/porsche/911/1979/1979-porsche-911-carrera_turbo?id=aCn1I000000CuQbSAK,"2dr Coupe, 6-cyl. 3299cc/265hp FI",Jul 2026,"$245,000","$265,000","$225,000","$185,000","$205,000","$169,333","$138,000","$153,667","$113,667","$65,000","$89,333","$40,667",0%,0%,+61.2%,Jul 2026,"$138,000",Apr 2026,"$138,000",Jan 2026,"$138,000",Oct 2025,"$138,000",substituted,"+5% for original bright trim (not applied). HVT lists 1979 911 Turbo as Carrera Turbo, substituted for requested 930 Turbo. Value-history chart tooltips could not be reliably verified."
32,1987,Porsche,911 Carrera coupe G50,https://www.hagerty.com/valuation-tools/porsche/911/1987/1987-porsche-911-carrera?id=aCn1I000000CuEMSA0,"2dr Coupe, 6-cyl. 3165cc/214hp Bosch Motronic FI",Jul 2026,"$150,000","$161,000","$139,000","$117,000","$128,000","$103,000","$75,000","$89,000","$66,667","$50,000","$58,333","$41,667",0%,-6.3%,0%,Jul 2026,"$75,000",Apr 2026,"$75,000",Jan 2026,"$75,000",Oct 2025,"$80,000",substituted,"+15% for cars finished in Summer Yellow, +25% for turbo look (not applied). HVT has no separate G50 trim page, used generic 1987 Carrera 2dr Coupe. Value-history chart tooltips could not be reliably verified. | +15% for cars finished in Summer Yellow; +25% for turbo look"
33,1989,Porsche,911 Speedster,https://www.hagerty.com/valuation-tools/porsche/911/1989/1989-porsche-911-carrera?id=aCn1I000000DOCVSA4,"2dr Speedster, 6-cyl. 3165cc/214hp FI",Jul 2026,"$345,000","$366,667","$323,333","$280,000","$301,667","$251,000","$193,000","$222,000","$168,667","$120,000","$144,333","$95,667",0%,+3.2%,+12.2%,Jul 2026,"$193,000",Apr 2026,"$193,000",Jan 2026,"$193,000",Oct 2025,"$195,000",yes,+$1.5k for Anniversary models (not applied). HVT configuration is 2dr Speedster. Value-history chart tooltips could not be reliably verified.
34,1994,Porsche,911 Turbo 3.6 (964),https://www.hagerty.com/valuation-tools/porsche/911/1994/1994-porsche-911-carrera_turbo?id=aCn1I000000Cs7uSAC,"2dr Coupe, 6-cyl. 3601cc/355hp Turbo",Jul 2026,"$650,000","$691,667","$608,333","$525,000","$566,667","$481,667","$395,000","$438,333","$338,333","$225,000","$281,667","$168,333",0%,+12.2%,+52.5%,Jul 2026,"$395,000",Apr 2026,"$395,000",Jan 2026,"$395,000",Oct 2025,"$395,000",yes,-10% for Tiptronic (not applied). Spec confirms Turbo 3.6 (3601cc). Value-history chart tooltips could not be reliably verified.
35,1995,Porsche,928 GTS,https://www.hagerty.com/valuation-tools/porsche/928/1995/1995-porsche-928-gts?id=aCn1I000000Ct6JSAS,"2dr Coupe, 8-cyl. 5397cc/350hp Bosch FI",Jul 2026,"$295,000","$330,000","$260,000","$190,000","$225,000","$170,000","$130,000","$150,000","$111,667","$75,000","$93,333","$56,667",+16.1%,+8.3%,+47.7%,Jul 2026,"$130,000",Apr 2026,"$112,000",Jan 2026,"$112,000",Oct 2025,"$120,000",yes,-50% for auto transmission (not applied). Value-history chart tooltips could not be reliably verified.
36,1987,Porsche,944 Turbo,https://www.hagerty.com/valuation-tools/porsche/944/1987/1987-porsche-944-turbo?id=aCn1I000000DHpFSAW,"2dr Coupe, 4-cyl. 2479cc/220hp Bosch FI",Jul 2026,"$70,000","$77,667","$62,333","$47,000","$54,667","$38,667","$22,000","$30,333","$18,667","$12,000","$15,333","$8,667",0%,0%,+10%,Jul 2026,"$22,000",Apr 2026,"$22,000",Jan 2026,"$22,000",Oct 2025,"$22,000",yes,No adjustments available. Value-history chart tooltips could not be reliably verified.
37,1989,Ferrari,Testarossa,https://www.hagerty.com/valuation-tools/ferrari/testarossa/1989/1989-ferrari-testarossa-base?id=aCn1I000000CskqSAC,"2dr Coupe, 12-cyl. 4943cc/390hp MFI",Jul 2026,"$291,000","$315,000","$267,000","$219,000","$243,000","$198,667","$158,000","$178,333","$147,000","$125,000","$136,000","$114,000",0%,+3.9%,+14.5%,Jul 2026,"$158,000",Apr 2026,"$158,000",Jan 2026,"$152,000",Oct 2025,"$152,000",yes,No adjustments available. Value-history chart tooltips could not be reliably verified.
