car_id,year,make,model_trim_as_listed,hvt_url,hvt_spec,edition_date,v1_value,v1_hi,v1_lo,v2_value,v2_hi,v2_lo,v3_value,v3_hi,v3_lo,v4_value,v4_hi,v4_lo,quarterly_change,annual_change,three_year_change,trend_1_date,trend_1_value,trend_2_date,trend_2_value,trend_3_date,trend_3_value,trend_4_date,trend_4_value,exact_match,notes
59,1999,Porsche,911 Carrera coupe (996),https://www.hagerty.com/valuation-tools/porsche/911/1999/1999-porsche-911-carrera?id=aCn1I000000DDiVSAW,"2dr Coupe, 6-cyl. 3387cc/296hp BMI",Jul 2026,"$65,000","$71,667","$58,333","$45,000","$51,667","$40,000","$30,000","$35,000","$26,333","$19,000","$22,667","$15,333",+11.1%,+11.1%,+3.4%,Jul 2026,"$30,000",Apr 2026,"$27,000",Jan 2026,"$27,000",Oct 2025,"$27,000",yes,"HVT lists 3 add adjustments, details not captured. Apr 2026 chart tooltip not reliably readable, left blank | +35% for documented factory XAA aero kit; -15% for tiptronic transmission; -15% for any non-turbo 996 without a documented intermediate shaft bearing remedy"
60,2004,Porsche,911 GT3 (996),https://www.hagerty.com/valuation-tools/porsche/911/2004/2004-porsche-911-gt3?id=aCn1I000000DO1PSAW,"2dr Coupe, 6-cyl. 3600cc/385hp Bosch ME-7.8 FI",Jul 2026,"$205,000","$216,667","$193,333","$170,000","$181,667","$155,000","$125,000","$140,000","$106,333","$69,000","$87,667","$50,333",+5.9%,+35.9%,+39.7%,Jul 2026,"$125,000",Apr 2026,"$118,000",Jan 2026,"$118,000",Oct 2025,"$92,000",yes,"HVT lists 1 add adjustment, details not captured. Apr 2026 chart tooltip not reliably readable, left blank | -15% for any non-turbo 996 without a documented intermediate shaft bearing remedy"
61,2007,Porsche,911 GT3 (997.1),https://www.hagerty.com/valuation-tools/porsche/911/2007/2007-porsche-911-gt3?id=aCn1I000000DHnMSAW,"2dr Coupe, 6-cyl. 3596cc/415hp Bosch ME-7.8 FI",Jul 2026,"$192,000","$197,667","$186,333","$175,000","$180,667","$164,667","$144,000","$154,333","$125,333","$88,000","$106,667","$69,333",0%,0%,+26.3%,Jul 2026,"$144,000",Apr 2026,"$144,000",Jan 2026,"$144,000",Oct 2025,"$144,000",yes,-15% for Tiptronic as shown on HVT page (GT3 is manual-only)
62,2004,Porsche,Carrera GT,https://www.hagerty.com/valuation-tools/porsche/carrera_gt/2004/2004-porsche-carrera_gt-base?id=aCn1I000000DV8tSAG,"2dr Coupe, 10-cyl. 5733cc/605hp Bosch ME-7.1.1 FI",Jul 2026,"$3,450,000","$3,716,667","$3,183,333","$2,650,000","$2,916,667","$2,533,333","$2,300,000","$2,416,667","$2,100,000","$1,700,000","$1,900,000","$1,500,000",+4.5%,+91.7%,+100%,Jul 2026,"$2,300,000",Apr 2026,"$2,200,000",Jan 2026,"$1,400,000",Oct 2025,"$1,350,000",yes,Paint to Sample colors may add 50-100%. HVT lists 1 add adjustment | Note: Paint to Sample colors may add 50% to 100% to base values depending on how bright or uncommon
63,2001,BMW,M3 coupe manual (E46),https://www.hagerty.com/valuation-tools/bmw/m3/2001/2001-bmw-m3-base?id=aCn1I000000DB0ASAW,"2dr Coupe, 6-cyl. 3246cc/333hp MFI",Jul 2026,"$88,900","$98,800","$79,000","$59,200","$69,100","$49,400","$29,800","$39,600","$25,367","$16,500","$20,933","$12,067",-3.9%,+6%,+0.3%,Jul 2026,"$29,800",Apr 2026,"$31,000",Jan 2026,"$29,200",Oct 2025,"$27,000",yes,"HVT lists 2 add adjustments, details not captured. Jul 2026 chart tooltip not reliably readable, left blank | -25% for SMG; +20% for Laguna Seca Blue"
64,2003,BMW,M5 (E39),https://www.hagerty.com/valuation-tools/bmw/m5/2003/2003-bmw-m5-base?id=aCn1I000000DMprSAG,"4dr Sedan, 8-cyl. 4941cc/394hp MFI",Jul 2026,"$194,000","$220,667","$167,333","$114,000","$140,667","$92,400","$49,200","$70,800","$38,100","$15,900","$27,000","$4,800",+7%,+27.5%,+9.1%,Jul 2026,"$49,200",Apr 2026,"$46,000",Jan 2026,"$44,200",Oct 2025,"$41,300",yes,No adjustments available
65,2000,BMW,Z3 M Coupe,https://www.hagerty.com/valuation-tools/bmw/m_coupe/2000/2000-bmw-m_coupe-base?id=aCn1I000000CuTvSAK,"2dr Hatchback, 6-cyl. 3246cc/240hp MFI",Jul 2026,"$81,800","$89,167","$74,433","$59,700","$67,067","$51,167","$34,100","$42,633","$29,433","$20,100","$24,767","$15,433",-3.1%,+5.6%,-6.8%,Jul 2026,"$34,100",Apr 2026,"$35,200",Jan 2026,"$32,900",Oct 2025,"$31,300",yes,"HVT lists as M Coupe, generation 1999-2002 BMW M Coupe (E36), i.e. Z3 M Coupe. No adjustments available"
66,2001,Honda,S2000,https://www.hagerty.com/valuation-tools/honda/s2000/2001/2001-honda-s2000-base?id=aCn1I000000DI9MSAW,"2dr Convertible, 4-cyl. 1997cc/240hp PGM-FI",Jul 2026,"$51,300","$53,867","$48,733","$43,600","$46,167","$37,833","$26,300","$32,067","$23,033","$16,500","$19,767","$13,233",0%,+3.1%,+10.5%,Jul 2026,"$26,300",Apr 2026,"$26,300",Jan 2026,"$26,300",Oct 2025,"$25,800",yes,No adjustments available
67,2005,Ford,GT,https://www.hagerty.com/valuation-tools/ford/gt/2005/2005-ford-gt-base?id=aCn1I000000DUKgSAO,"2dr Coupe, 8-cyl. 330cid/550hp EFI DOHC Supercharged Alum.",Jul 2026,"$695,000","$730,333","$659,667","$589,000","$624,333","$562,667","$510,000","$536,333","$466,333","$379,000","$422,667","$335,333",+25%,+36.4%,+33.2%,Jul 2026,"$510,000",Apr 2026,"$408,000",Jan 2026,"$408,000",Oct 2025,"$374,000",yes,+$4k for factory BBS wheels; +$3k for factory stripes; +$2.5k for McIntosh audiophile system; +$900 for painted calipers (not applied)
68,2002,Chevrolet,Corvette Z06 (C5),https://www.hagerty.com/valuation-tools/chevrolet/corvette/2002/2002-chevrolet-corvette-z06?id=aCn1I000000DRbISAW,"2dr Hardtop Coupe, 8-cyl. 5.7L 346cid/405hp SFI",Jul 2026,"$61,700","$69,367","$54,033","$38,700","$46,367","$33,833","$24,100","$28,967","$20,467","$13,200","$16,833","$9,567",0%,-0.8%,-16%,Jul 2026,"$24,100",Apr 2026,"$24,100",Jan 2026,"$24,100",Oct 2025,"$24,100",yes,No adjustments available
69,2006,Chevrolet,Corvette Z06 (C6),https://www.hagerty.com/valuation-tools/chevrolet/corvette/2006/2006-chevrolet-corvette-z06?id=aCn1I000000D4WnSAK,"2dr Coupe, 8-cyl. 427cid/505hp SFI",Jul 2026,"$75,300","$82,033","$68,567","$55,100","$61,833","$49,633","$38,700","$44,167","$34,467","$26,000","$30,233","$21,767",+4%,+7.2%,+8.7%,Jul 2026,"$38,700",Apr 2026,"$37,200",Jan 2026,"$37,200",Oct 2025,"$37,200",yes,-10% for auto transmission (not applied)
70,2005,Mercedes-Benz,SLR McLaren,https://www.hagerty.com/valuation-tools/mercedes~benz/slr_mclaren/2005/2005-mercedes~benz-slr_mclaren-base?id=aCn1I000000DVROSA4,"2dr Coupe, 8-cyl. 5439cc/626hp Bosch ME-2.8.1 Supercharged",Jul 2026,"$454,000","$490,000","$418,000","$346,000","$382,000","$320,333","$269,000","$294,667","$247,667","$205,000","$226,333","$183,667",0%,+3.9%,-2.5%,Jul 2026,"$269,000",Apr 2026,"$269,000",Jan 2026,"$254,000",Oct 2025,"$254,000",yes,No adjustments available
71,2006,Ferrari,F430 coupe F1,https://www.hagerty.com/valuation-tools/ferrari/f430/2006/2006-ferrari-f430-base?id=aCn1I000000DU95SAG,"2dr Coupe, 8-cyl. 4308cc/490hp Bosch Me-7 EFI",Jul 2026,"$214,000","$227,333","$200,667","$174,000","$187,333","$162,000","$138,000","$150,000","$134,000","$126,000","$130,000","$122,000",+20%,+21.1%,+15%,Jul 2026,"$138,000",Apr 2026,"$115,000",Jan 2026,"$117,000",Oct 2025,"$117,000",yes,"+100% for factory manual transmission (not applied). Listed trim specifies F1 transmission, F1 was standard"
72,1999,Ferrari,550 Maranello,https://www.hagerty.com/valuation-tools/ferrari/550/1999/1999-ferrari-550-maranello?id=aCn1I000000DAStSAO,"2dr Coupe, 12-cyl. 5474cc/485hp BMI M5.2",Jul 2026,"$324,000","$340,333","$307,667","$275,000","$291,333","$250,667","$202,000","$226,333","$186,667","$156,000","$171,333","$140,667",+5.8%,+13.5%,+21%,Jul 2026,"$202,000",Apr 2026,"$191,000",Jan 2026,"$182,000",Oct 2025,"$182,000",yes,Note: Lack of verifiable owner and service history can greatly affect value
73,2004,Lamborghini,Gallardo,https://www.hagerty.com/valuation-tools/lamborghini/gallardo/2004/2004-lamborghini-gallardo-base?id=aCn1I000000DTt3SAG,"2dr Coupe, 10-cyl. 4961cc/500hp MFI",Jul 2026,"$165,000","$175,000","$155,000","$135,000","$145,000","$120,933","$92,800","$106,867","$87,800","$77,800","$82,800","$72,800",0%,-3.2%,+17.6%,Jul 2026,"$92,800",Apr 2026,"$92,800",Jan 2026,"$90,100",Oct 2025,"$90,100",yes,+50% for factory manual transmission (not applied)
74,2002,Acura,NSX,https://www.hagerty.com/valuation-tools/acura/nsx~t/2002/2002-acura-nsx~t-3.2l?id=aCn1I000000DDe5SAG,"2dr Targa, 6-cyl. 3179cc/290hp PFI",Jul 2026,"$332,000","$378,667","$285,333","$192,000","$238,667","$163,333","$106,000","$134,667","$89,500","$56,500","$73,000","$40,000",0%,+8.3%,+23%,Jul 2026,"$106,000",Apr 2026,"$106,000",Jan 2026,"$97,900",Oct 2025,"$97,900",substituted,Listed as NSX; HVT 2002 page is NSX-T 3.2L Targa (fixed-roof coupe not offered in 2002). -15% for auto transmission (not applied)
75,2009,Nissan,GT-R,https://www.hagerty.com/valuation-tools/nissan/gt~r/2009/2009-nissan-gt~r-base?id=aCn1I000000DIe7SAG,"2dr Coupe, 6-cyl. 3799cc/485hp SFI Twin Turbo",Jul 2026,"$80,400","$85,000","$75,800","$66,600","$71,200","$61,433","$51,100","$56,267","$45,567","$34,500","$40,033","$28,967",0%,+12.1%,+5.4%,Jul 2026,"$51,100",Apr 2026,"$51,100",Jan 2026,"$45,600",Oct 2025,"$45,600",yes,No adjustments available
76,2012,Lexus,LFA,https://www.hagerty.com/valuation-tools/lexus/lfa/2012/2012-lexus-lfa-base?id=aCn1I0000008eWMSAY,"2dr Coupe, 10-cyl. 4805cc/553hp FI",Jul 2026,"$1,150,000","$1,210,333","$1,089,667","$969,000","$1,029,333","$937,667","$875,000","$906,333","$853,667","$811,000","$832,333","$789,667",+25%,+25%,+19.7%,Jul 2026,"$875,000",Apr 2026,"$700,000",Jan 2026,"$700,000",Oct 2025,"$700,000",yes,"Jan 2026 and Oct 2025 chart tooltips could not be reliably read, left blank"
77,2006,Dodge,Viper SRT-10 coupe,https://www.hagerty.com/valuation-tools/dodge/viper/2006/2006-dodge-viper-srt~10?id=aCn1I000000DFTkSAO,"2dr Coupe, 10-cyl. 505cid/510hp SFI",Jul 2026,"$108,000","$117,467","$98,533","$79,600","$89,067","$69,600","$49,600","$59,600","$44,733","$35,000","$39,867","$30,133",0%,-3.3%,-7.1%,Jul 2026,"$49,600",Apr 2026,"$49,600",Jan 2026,"$51,700",Oct 2025,"$53,900",yes,"Jul 2026 and Oct 2025 chart tooltips could not be reliably read, left blank | +8% for Copperhead Edition; +8% for Mamba Edition"
78,2000,Toyota,Land Cruiser (100 series),https://www.hagerty.com/valuation-tools/toyota/land_cruiser/1997/1997-toyota-land_cruiser-fj80?id=aCn1I000000DJZuSAO,"4dr Station Wagon 4x4, 6-cyl. 4477cc/212hp MPI DOHC",Jul 2026,"$172,000","$208,533","$135,467","$62,400","$98,933","$48,733","$21,400","$35,067","$15,933","$10,467","$10,467",,+2.9%,-8.2%,-18%,Jul 2026,"$21,400",Apr 2026,"$20,800",Jan 2026,"$21,900",Oct 2025,"$22,600",substituted,"No 2000 100-series page in HVT; Toyota Land Cruiser section lists years 1968-1997 only. Used newest available year at or before 2000: 1997 Land Cruiser FJ80. The FJ80 (80 series) is one generation before the 100 series per HVT's model description. Value-history chart shows values without edition dates, trends left blank."
79,2011,Mercedes-Benz,SLS AMG coupe,https://www.hagerty.com/valuation-tools/mercedes~benz/sls_amg/2011/2011-mercedes~benz-sls_amg-base?id=aCn1I000000DU77SAG,"2dr Coupe, 8-cyl. 6208cc/563hp PFI",Jul 2026,"$311,000","$334,667","$287,333","$240,000","$263,667","$217,333","$172,000","$194,667","$151,667","$111,000","$131,333","$90,667",0%,-4.4%,-24.6%,Jul 2026,"$172,000",Apr 2026,"$172,000",Jan 2026,"$172,000",Oct 2025,"$172,000",yes,"Oct 2025 chart tooltip could not be reliably read, left blank"
80,2016,Porsche,911 GT3 RS (991.1),https://www.hagerty.com/valuation-tools/porsche/911/2016/2016-porsche-911-gt3_rs?id=aCn1I000000D8IQSA0,"2dr Coupe, 6-cyl. 3996cc/500hp EMS SDI 3.1 FI",Jul 2026,"$237,000","$252,667","$221,333","$190,000","$205,667","$175,667","$147,000","$161,333","$137,333","$118,000","$127,667","$108,333",0%,0%,0%,Jul 2026,"$147,000",Apr 2026,"$147,000",Jan 2026,"$147,000",Oct 2025,"$147,000",yes,"Apr 2026 and Oct 2025 chart tooltips could not be reliably read, left blank"
81,2019,Porsche,911 GT3 RS (991.2),https://www.hagerty.com/valuation-tools/porsche/911/2019/2019-porsche-911-gt3_rs?id=aCn1I000000DBm5SAG,"2dr Coupe, 6-cyl. 3996cc/520hp FI",Jul 2026,"$265,000","$282,333","$247,667","$213,000","$230,333","$197,000","$165,000","$181,000","$154,000","$132,000","$143,000","$121,000",0%,0%,0%,Jul 2026,"$165,000",Apr 2026,"$165,000",Jan 2026,"$165,000",Oct 2025,"$165,000",yes,"Jan 2026 and Oct 2025 chart tooltips could not be reliably read, left blank"
82,2018,Porsche,911 Carrera T (991.2),https://www.hagerty.com/valuation-tools/porsche/911/2018/2018-porsche-911-carrera_t?id=aCn1I000000DBMNSA4,"2dr Coupe, 6-cyl. 2981cc/370hp Twin Turbo",Jul 2026,"$128,000","$136,333","$119,667","$103,000","$111,333","$95,033","$79,100","$87,067","$73,967","$63,700","$68,833","$58,567",0%,0%,+1.3%,Jul 2026,"$79,100",Apr 2026,"$79,100",Jan 2026,"$79,100",,,yes,"Value-history chart present but tooltips could not be reliably read, trends left blank | -10% for PDK"
83,2016,Porsche,Cayman GT4 (981),https://www.hagerty.com/valuation-tools/porsche/cayman/2016/2016-porsche-cayman-gt4?id=aCn1I000000D9O8SAK,"2dr Coupe, 6-cyl. 3800cc/385hp Bosch Motronic SDI",Jul 2026,"$131,000","$135,667","$126,333","$117,000","$121,667","$114,000","$108,000","$111,000","$100,367","$85,100","$92,733","$77,467",+4.9%,+10.9%,+5.9%,Jul 2026,"$108,000",Apr 2026,"$103,000",Jan 2026,"$99,400",Oct 2025,"$98,200",yes,"Spec string not captured; Oct 2025 chart tooltip could not be reliably read, left blank"
84,2015,Porsche,918 Spyder,https://www.hagerty.com/valuation-tools/porsche/918_spyder/2015/2015-porsche-918_spyder-base?id=aCn1I000000D7UzSAK,"2dr Roadster, 8-cyl. 4593cc/887hp Bosch EFI Hybrid",Jul 2026,"$3,000,000","$3,250,000","$2,750,000","$2,250,000","$2,500,000","$2,150,000","$1,950,000","$2,050,000","$1,816,667","$1,550,000","$1,683,333","$1,416,667",+25.8%,+44.4%,+50%,Jul 2026,"$1,950,000",Apr 2026,"$1,550,000",Jan 2026,"$1,400,000",Oct 2025,"$1,400,000",yes,"Base (not Weissach) page; Oct 2025 chart tooltip could not be reliably read, left blank"
85,2017,Dodge,Viper GTS,https://www.hagerty.com/valuation-tools/dodge/viper/2017/2017-dodge-viper-gts?id=aCn1I000000DAB3SAO,"2dr Coupe, 10-cyl. 515cid/645hp SFI",Jul 2026,"$165,000","$166,667","$163,333","$160,000","$161,667","$158,667","$156,000","$157,333","$153,000","$147,000","$150,000","$144,000",+2.6%,+13%,-23.9%,Jul 2026,"$156,000",Apr 2026,"$152,000",Jan 2026,"$142,000",Oct 2025,"$142,000",yes,"Spec string not captured; Oct 2025 chart tooltip could not be reliably read, left blank"
86,2020,Ferrari,488 Pista,https://www.hagerty.com/valuation-tools/ferrari/488_pista/2020/2020-ferrari-488_pista-base?id=aCn1I000000XpG1SAK,"2dr Coupe, 8-cyl. 3902cc/710hp Twin Turbo",Jul 2026,"$935,000","$964,000","$906,000","$848,000","$877,000","$828,000","$788,000","$808,000","$739,000","$641,000","$690,000","$592,000",+15.5%,+42.5%,+45.9%,Jul 2026,"$788,000",Apr 2026,"$682,000",Jan 2026,"$526,000",Oct 2025,"$498,000",yes,
87,2013,Ferrari,458 Italia,https://www.hagerty.com/valuation-tools/ferrari/458_italia/2013/2013-ferrari-458_italia-base?id=aCn1I000000Csz9SAC,"2dr Coupe, 8-cyl. 4497cc/562hp EFI",Jul 2026,"$307,000","$316,333","$297,667","$279,000","$288,333","$255,333","$208,000","$231,667","$188,667","$150,000","$169,333","$130,667",0%,+5.1%,+11.2%,Jul 2026,"$208,000",Apr 2026,"$208,000",Jan 2026,"$204,000",Oct 2025,"$202,000",yes,"Value-history trends not captured, left blank"
88,2015,Ferrari,458 Speciale,https://www.hagerty.com/valuation-tools/ferrari/458_speciale/2015/2015-ferrari-458_speciale-base?id=aCn1I000000D7PySAK,"2dr Coupe, 8-cyl. 4497cc/597hp EFI",Jul 2026,"$1,200,000","$1,266,667","$1,133,333","$1,000,000","$1,066,667","$948,667","$846,000","$897,333","$811,333","$742,000","$776,667","$707,333",+20%,+88.8%,+114.7%,Jul 2026,"$846,000",Apr 2026,"$705,000",Jan 2026,"$470,000",Oct 2025,"$470,000",yes,"HVT labels trim Base (2dr coupe); A variant is Aperta spider. Value-history chart shown but tooltips did not render, trends blank."
89,2012,McLaren,MP4-12C,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,"MP4-12C not present in HVT: McLaren model list shows only F1, F1 LM, P1, Senna; searches returned 0 results"
90,2019,McLaren,720S,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,"720S not present in HVT: McLaren model list shows only F1, F1 LM, P1, Senna"
91,2015,Lamborghini,Huracan LP610-4,https://www.hagerty.com/valuation-tools/lamborghini/huracan/2015/2015-lamborghini-huracan-lp610~4?id=aCn1I000000D7QhSAK,"2dr Coupe, 10-cyl. 5204cc/610hp FI",Jul 2026,"$228,000","$234,333","$221,667","$209,000","$215,333","$204,333","$195,000","$199,667","$184,000","$162,000","$173,000","$151,000",+4.8%,-2%,-10.1%,Jul 2026,"$195,000",Apr 2026,"$186,000",Jan 2026,"$187,000",Oct 2025,"$198,000",yes,
92,2018,Lamborghini,Aventador S,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,"Aventador not listed in HVT, verified via search (0 results) and browse-by-make Lamborghini model list"
93,2014,Chevrolet,Corvette Stingray Z51,https://www.hagerty.com/valuation-tools/chevrolet/corvette/2014/2014-chevrolet-corvette-stingray?id=aCn1I000000CvMwSAK,"2dr Coupe, 8-cyl. 376cid/450hp SFI",Jul 2026,"$65,900","$70,733","$61,067","$51,400","$56,233","$46,833","$37,700","$42,267","$35,000","$29,600","$32,300","$26,900",0%,-6%,+1.9%,Jul 2026,"$37,700",Apr 2026,"$37,700",Jan 2026,"$38,500",Oct 2025,"$39,300",substituted,"No dedicated Z51 page in HVT, used 2014 Corvette Stingray 2dr Coupe. HVT states Z51 is a performance package (dry-sump lubrication, transmission cooler, close-ratio gearing, staggered aluminum wheels, bigger brakes, electronic LSD, different chassis tuning, Magnetic Ride Control). HVT Price Guide adjustments offer +5% for Z51 and -10% for automatic; values reported are base figures without adjustments applied. | +5% for Z51 performance package; -10% for automatic transmission"
94,2019,Chevrolet,Corvette ZR1,https://www.hagerty.com/valuation-tools/chevrolet/corvette/2019/2019-chevrolet-corvette-zr1?id=aCn1I000000DBFsSAO,"2dr Coupe, 8-cyl. 376cid/755hp Supercharged",Jul 2026,"$277,000","$302,000","$252,000","$202,000","$227,000","$178,667","$132,000","$155,333","$123,667","$107,000","$115,333","$98,667",-12%,-12%,-2.9%,Jul 2026,"$132,000",Apr 2026,"$150,000",Jan 2026,"$150,000",Oct 2025,"$150,000",substituted,Listed trim did not specify body style; HVT splits 2019 ZR1 into 2dr Coupe and 2dr Convertible pages. Used 2dr Coupe. | -20% for automatic transmission
95,2020,Chevrolet,Corvette Stingray (C8),https://www.hagerty.com/valuation-tools/chevrolet/corvette/2020/2020-chevrolet-corvette-stingray?id=aCn1I000000kOR1SAM,"2dr Coupe, 8-cyl. 376cid/495hp DI",Jul 2026,"$83,600","$86,633","$80,567","$74,500","$77,533","$72,400","$68,200","$70,300","$63,100","$52,900","$58,000","$47,800",+3.2%,+4.9%,-17.9%,Jul 2026,"$68,200",Apr 2026,"$66,100",Jan 2026,"$65,300",Oct 2025,"$66,100",substituted,"Listed trim did not specify body style or engine; HVT has multiple 2020 Stingray pages (2dr Coupe 495hp DI, 2dr Coupe 490hp DI, 2dr Convertible 490hp DI). Used 2dr Coupe 495hp DI best-match page."
96,2013,Ford,Shelby GT500,https://www.hagerty.com/valuation-tools/ford/mustang/2013/2013-ford-mustang-shelby_gt500?id=aCn1I000000CqHISA0,"2dr Coupe, 8-cyl. 351cid/650hp Supercharged",Jul 2026,"$94,300","$104,567","$84,033","$63,500","$73,767","$58,100","$47,300","$52,700","$42,567","$33,100","$37,833","$28,367",0%,+13.7%,+4.4%,Jul 2026,"$47,300",Apr 2026,"$47,300",Jan 2026,"$47,300",Oct 2025,"$48,300",substituted,HVT lists as Ford Mustang Shelby GT500; listed trim did not specify body style and HVT splits into 2dr Coupe and 2dr Convertible pages. Used 2dr Coupe.
97,2016,Ford,Shelby GT350R,https://www.hagerty.com/valuation-tools/ford/mustang/2016/2016-ford-mustang-shelby_gt350r?id=aCn1I000000D94iSAC,"2dr Coupe, 8-cyl. 315cid/526hp SFI",Jul 2026,"$94,100","$97,967","$90,233","$82,500","$86,367","$79,833","$74,500","$77,167","$67,967","$54,900","$61,433","$48,367",-0.7%,+13.9%,+3.6%,Jul 2026,"$74,500",Apr 2026,"$75,000",Jan 2026,"$71,300",Oct 2025,"$69,300",yes,"Only current-edition (Jul 2026) #2 tooltip value reliably readable, older trends left blank"
98,2018,Dodge,Challenger SRT Demon,https://www.hagerty.com/valuation-tools/dodge/challenger/2018/2018-dodge-challenger-srt_demon?id=aCn1I000000DAL3SAO,"2dr Coupe, 8-cyl. 376cid/840hp Supercharged",Jul 2026,"$128,000","$136,667","$119,333","$102,000","$110,667","$98,633","$91,900","$95,267","$89,767","$85,500","$87,633","$83,367",0%,0%,-21.5%,Jul 2026,"$91,900",Apr 2026,"$91,900",Jan 2026,"$91,900",Oct 2025,"$91,900",yes,"Only current-edition (Jul 2026) #2 tooltip value reliably readable, older trends left blank | +5% for special run High Impact colors; +5% for T/A or Shaker hood; +10% for manual transmission"
99,2019,BMW,M4 Competition coupe,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,"No 2019 BMW M4 in HVT, BMW model browse list includes M3, M5, M6 but no M4"
100,2017,Ford,Focus RS,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,"No Ford Focus in HVT, Ford model browse list has no Focus"
