car_id,year,make,model_trim,status,year_scope_used,window,basis,n,thin,median,p25,p75,min,max
17,1970,"Porsche 911 T",compare,exact 1970,W1,mixed (10% house buyer-paid, rest sold+fee),12,no,90300,68644,113663,4320,132300
17,1970,"Porsche 911 T",compare,exact 1970,W2,mixed (10% house buyer-paid, rest sold+fee),3,yes,,,,,
17,1970,"Porsche 911 T",compare,exact 1970,W3,mixed (10% house buyer-paid, rest sold+fee),30,no,80325,63131,103688,3920,167500
18,1973,"Porsche 911 Carrera RS 2.7",compare,adjacent years pooled (1971-1973),W1,n/a,0,yes,,,,,
18,1973,"Porsche 911 Carrera RS 2.7",compare,adjacent years pooled (1971-1973),W2,n/a,0,yes,,,,,
18,1973,"Porsche 911 Carrera RS 2.7",compare,adjacent years pooled (1971-1973),W3,n/a,0,yes,,,,,
19,1966,"Jaguar E-Type Series 1",compare,adjacent years pooled (1964-1968),W1,mixed (16% house buyer-paid, rest sold+fee),23,no,84525,64732,123900,38063,307500
19,1966,"Jaguar E-Type Series 1",compare,adjacent years pooled (1964-1968),W2,mixed (16% house buyer-paid, rest sold+fee),3,yes,,,,,
19,1966,"Jaguar E-Type Series 1",compare,adjacent years pooled (1964-1968),W3,mixed (16% house buyer-paid, rest sold+fee),45,no,81375,61950,117600,12495,307500
20,1962,"Mercedes-Benz 190SL",compare,adjacent years pooled (1960-1964),W1,mixed (45% house buyer-paid, rest sold+fee),18,no,100800,85444,144200,56700,192510
20,1962,"Mercedes-Benz 190SL",compare,adjacent years pooled (1960-1964),W2,mixed (45% house buyer-paid, rest sold+fee),10,no,84525,62606,123278,52500,196000
20,1962,"Mercedes-Benz 190SL",compare,adjacent years pooled (1960-1964),W3,mixed (45% house buyer-paid, rest sold+fee),33,no,99360,77004,152250,15680,224000
21,1971,"Mercedes-Benz 280SL",compare,exact 1971,W1,mixed (14% house buyer-paid, rest sold+fee),23,no,128100,88550,157800,66150,201600
21,1971,"Mercedes-Benz 280SL",compare,exact 1971,W2,mixed (14% house buyer-paid, rest sold+fee),4,yes,,,,,
