car_id,year,make,model_trim,status,year_scope_used,window,basis,n,thin,median,p25,p75,min,max
70,2005,"Mercedes-Benz SLR",compare,adjacent years pooled (2003-2007),W2,mixed (42% house buyer-paid, rest sold+fee),1,yes,,,,,
70,2005,"Mercedes-Benz SLR",compare,adjacent years pooled (2003-2007),W3,mixed (42% house buyer-paid, rest sold+fee),12,no,323713,306250,366500,235200,398500
71,2006,"Ferrari F430",compare,adjacent years pooled (2004-2008),W1,buyer-paid (houses),1,yes,,,,,
71,2006,"Ferrari F430",compare,adjacent years pooled (2004-2008),W2,buyer-paid (houses),0,yes,,,,,
71,2006,"Ferrari F430",compare,adjacent years pooled (2004-2008),W3,buyer-paid (houses),1,yes,,,,,
72,1999,"Ferrari 550 Maranello",compare,adjacent years pooled (1997-2001),W1,mixed (80% house buyer-paid, rest sold+fee),8,no,200160,191375,244875,141750,329500
72,1999,"Ferrari 550 Maranello",compare,adjacent years pooled (1997-2001),W2,mixed (80% house buyer-paid, rest sold+fee),0,yes,,,,,
72,1999,"Ferrari 550 Maranello",compare,adjacent years pooled (1997-2001),W3,mixed (80% house buyer-paid, rest sold+fee),10,no,200160,182125,257600,141750,329500
73,2004,"Lamborghini Gallardo",compare,adjacent years pooled (2002-2006),W1,mixed (11% house buyer-paid, rest sold+fee),6,yes,,,,,
73,2004,"Lamborghini Gallardo",compare,adjacent years pooled (2002-2006),W2,mixed (11% house buyer-paid, rest sold+fee),4,yes,,,,,
73,2004,"Lamborghini Gallardo",compare,adjacent years pooled (2002-2006),W3,mixed (11% house buyer-paid, rest sold+fee),18,no,102638,94763,125475,78100,227500
74,2002,"Acura NSX",compare,adjacent years pooled (2002-2004),W1,mixed (11% house buyer-paid, rest sold+fee),19,no,161500,128100,177750,6405,227500
74,2002,"Acura NSX",compare,adjacent years pooled (2002-2004),W2,mixed (11% house buyer-paid, rest sold+fee),3,yes,,,,,
74,2002,"Acura NSX",compare,adjacent years pooled (2002-2004),W3,mixed (11% house buyer-paid, rest sold+fee),36,no,144900,120881,176250,6405,294500
75,2009,"Nissan GT-R",compare,adjacent years pooled (2009-2011),W1,mixed (14% house buyer-paid, rest sold+fee),5,yes,,,,,
75,2009,"Nissan GT-R",compare,adjacent years pooled (2009-2011),W2,mixed (14% house buyer-paid, rest sold+fee),2,yes,,,,,
75,2009,"Nissan GT-R",compare,adjacent years pooled (2009-2011),W3,mixed (14% house buyer-paid, rest sold+fee),14,no,65100,60431,81769,44100,100800
76,2012,"Lexus LFA",compare,adjacent years pooled (2010-2014),W1,mixed (33% house buyer-paid, rest sold+fee),6,yes,,,,,
76,2012,"Lexus LFA",compare,adjacent years pooled (2010-2014),W2,mixed (33% house buyer-paid, rest sold+fee),0,yes,,,,,
76,2012,"Lexus LFA",compare,adjacent years pooled (2010-2014),W3,mixed (33% house buyer-paid, rest sold+fee),18,no,852500,747500,907333,683500,1875000
77,2006,"Dodge Viper SRT-10",compare,adjacent years pooled (2004-2008),W1,mixed (16% house buyer-paid, rest sold+fee),28,no,53675,46135,68434,39900,132000
77,2006,"Dodge Viper SRT-10",compare,adjacent years pooled (2004-2008),W2,mixed (16% house buyer-paid, rest sold+fee),9,no,63000,56100,87966,50925,100275
77,2006,"Dodge Viper SRT-10",compare,adjacent years pooled (2004-2008),W3,mixed (16% house buyer-paid, rest sold+fee),64,no,55650,49088,66255,34650,132000
78,2000,"Toyota Land Cruiser 100",nohvt,exact 2000,W1,sold+fee (online),23,no,17850,11682,27038,7980,89250
78,2000,"Toyota Land Cruiser 100",nohvt,exact 2000,W2,sold+fee (online),4,yes,,,,,
78,2000,"Toyota Land Cruiser 100",nohvt,exact 2000,W3,sold+fee (online),45,no,16801,12600,27825,7980,89250
79,2011,"Mercedes-Benz SLS AMG",compare,adjacent years pooled (2009-2013),W1,n/a,0,yes,,,,,
79,2011,"Mercedes-Benz SLS AMG",compare,adjacent years pooled (2009-2013),W2,n/a,0,yes,,,,,
79,2011,"Mercedes-Benz SLS AMG",compare,adjacent years pooled (2009-2013),W3,n/a,0,yes,,,,,
80,2016,"Porsche 911 GT3 RS",compare,exact 2016,W1,mixed (5% house buyer-paid, rest sold+fee),12,no,214500,203070,222750,177491,267500
80,2016,"Porsche 911 GT3 RS",compare,exact 2016,W2,mixed (5% house buyer-paid, rest sold+fee),1,yes,,,,,
80,2016,"Porsche 911 GT3 RS",compare,exact 2016,W3,mixed (5% house buyer-paid, rest sold+fee),22,no,215500,192500,223250,177491,390000
81,2019,"Porsche 911 GT3 RS",compare,exact 2019,W1,sold+fee (online),10,no,250535,239000,260000,197500,281500
81,2019,"Porsche 911 GT3 RS",compare,exact 2019,W2,sold+fee (online),1,yes,,,,,
81,2019,"Porsche 911 GT3 RS",compare,exact 2019,W3,sold+fee (online),34,no,248500,237750,266500,197500,321500
82,2018,"Porsche 911 Carrera T",compare,adjacent years pooled (2016-2019),W1,n/a,0,yes,,,,,
82,2018,"Porsche 911 Carrera T",compare,adjacent years pooled (2016-2019),W2,n/a,0,yes,,,,,
82,2018,"Porsche 911 Carrera T",compare,adjacent years pooled (2016-2019),W3,n/a,0,yes,,,,,
83,2016,"Porsche Cayman GT4",compare,exact 2016,W1,mixed (2% house buyer-paid, rest sold+fee),44,no,105000,94894,112744,80850,136500
83,2016,"Porsche Cayman GT4",compare,exact 2016,W2,mixed (2% house buyer-paid, rest sold+fee),5,yes,,,,,
83,2016,"Porsche Cayman GT4",compare,exact 2016,W3,mixed (2% house buyer-paid, rest sold+fee),54,no,105000,94500,114319,80850,149100
84,2015,"Porsche 918",compare,exact 2015,W1,sold+fee (online),22,no,75871,68119,101588,41738,174500
84,2015,"Porsche 918",compare,exact 2015,W2,sold+fee (online),0,yes,,,,,
84,2015,"Porsche 918",compare,exact 2015,W3,sold+fee (online),50,no,82950,73369,109725,41738,174500
85,2017,"Dodge Viper GTS",compare,adjacent years pooled (2015-2017),W1,sold+fee (online),4,yes,,,,,
85,2017,"Dodge Viper GTS",compare,adjacent years pooled (2015-2017),W2,sold+fee (online),0,yes,,,,,
85,2017,"Dodge Viper GTS",compare,adjacent years pooled (2015-2017),W3,sold+fee (online),7,yes,,,,,
86,2020,"Ferrari 488 Pista",compare,adjacent years pooled (2018-2022),W1,mixed (50% house buyer-paid, rest sold+fee),12,no,800250,696469,844750,583200,1039000
86,2020,"Ferrari 488 Pista",compare,adjacent years pooled (2018-2022),W2,mixed (50% house buyer-paid, rest sold+fee),3,yes,,,,,
86,2020,"Ferrari 488 Pista",compare,adjacent years pooled (2018-2022),W3,mixed (50% house buyer-paid, rest sold+fee),24,no,715813,558655,882375,441500,1127500
87,2013,"Ferrari 458 Italia",compare,adjacent years pooled (2011-2015),W1,mixed (4% house buyer-paid, rest sold+fee),13,no,232080,220500,241500,147630,300500
87,2013,"Ferrari 458 Italia",compare,adjacent years pooled (2011-2015),W2,mixed (4% house buyer-paid, rest sold+fee),3,yes,,,,,
87,2013,"Ferrari 458 Italia",compare,adjacent years pooled (2011-2015),W3,mixed (4% house buyer-paid, rest sold+fee),24,no,222361,193250,242588,147630,307500
88,2015,"Ferrari 458 Speciale",compare,exact 2015,W1,mixed (59% house buyer-paid, rest sold+fee),11,no,885000,759100,941563,619500,1269000
88,2015,"Ferrari 458 Speciale",compare,exact 2015,W2,mixed (59% house buyer-paid, rest sold+fee),5,yes,,,,,
88,2015,"Ferrari 458 Speciale",compare,exact 2015,W3,mixed (59% house buyer-paid, rest sold+fee),17,no,912500,758700,1022500,456100,2132500
89,2012,"McLaren MP4-12C",coverage,exact 2012,W1,mixed (42% house buyer-paid, rest sold+fee),9,no,103400,81400,123200,69299,173880
89,2012,"McLaren MP4-12C",coverage,exact 2012,W2,mixed (42% house buyer-paid, rest sold+fee),3,yes,,,,,
89,2012,"McLaren MP4-12C",coverage,exact 2012,W3,mixed (42% house buyer-paid, rest sold+fee),19,no,98175,84265,121000,69299,173880
90,2019,"McLaren 720S",coverage,adjacent years pooled (2017-2021),W1,mixed (33% house buyer-paid, rest sold+fee),2,yes,,,,,
90,2019,"McLaren 720S",coverage,adjacent years pooled (2017-2021),W2,mixed (33% house buyer-paid, rest sold+fee),2,yes,,,,,
90,2019,"McLaren 720S",coverage,adjacent years pooled (2017-2021),W3,mixed (33% house buyer-paid, rest sold+fee),6,yes,,,,,
91,2015,"Lamborghini Huracan LP610-4",compare,adjacent years pooled (2013-2017),W1,n/a,0,yes,,,,,
91,2015,"Lamborghini Huracan LP610-4",compare,adjacent years pooled (2013-2017),W2,n/a,0,yes,,,,,
91,2015,"Lamborghini Huracan LP610-4",compare,adjacent years pooled (2013-2017),W3,n/a,0,yes,,,,,
92,2018,"Lamborghini Aventador S",coverage,adjacent years pooled (2016-2020),W1,mixed (31% house buyer-paid, rest sold+fee),4,yes,,,,,
92,2018,"Lamborghini Aventador S",coverage,adjacent years pooled (2016-2020),W2,mixed (31% house buyer-paid, rest sold+fee),1,yes,,,,,
92,2018,"Lamborghini Aventador S",coverage,adjacent years pooled (2016-2020),W3,mixed (31% house buyer-paid, rest sold+fee),13,no,564500,423500,621000,272500,2030000
93,2014,"Chevrolet Corvette Z51",compare,exact 2014,W1,sold+fee (online),15,no,43575,37932,46536,33863,61688
93,2014,"Chevrolet Corvette Z51",compare,exact 2014,W2,sold+fee (online),2,yes,,,,,
93,2014,"Chevrolet Corvette Z51",compare,exact 2014,W3,sold+fee (online),27,no,41738,36357,44685,30923,61688
94,2019,"Chevrolet Corvette ZR1",compare,exact 2019,W1,mixed (14% house buyer-paid, rest sold+fee),72,no,175750,153562,217250,117600,347500
94,2019,"Chevrolet Corvette ZR1",compare,exact 2019,W2,mixed (14% house buyer-paid, rest sold+fee),10,no,205500,180038,233444,126000,249500
94,2019,"Chevrolet Corvette ZR1",compare,exact 2019,W3,mixed (14% house buyer-paid, rest sold+fee),123,no,176500,153125,218000,117600,347500
95,2020,"Chevrolet Corvette Stingray",compare,exact 2020,W1,mixed (11% house buyer-paid, rest sold+fee),25,no,63000,59325,66675,56176,75600
95,2020,"Chevrolet Corvette Stingray",compare,exact 2020,W2,mixed (11% house buyer-paid, rest sold+fee),4,yes,,,,,
95,2020,"Chevrolet Corvette Stingray",compare,exact 2020,W3,mixed (11% house buyer-paid, rest sold+fee),44,no,64050,59719,67646,56175,87450
96,2013,"Ford Mustang Shelby GT500",compare,exact 2013,W1,sold+fee (online),10,no,59588,51453,67331,42263,68250
96,2013,"Ford Mustang Shelby GT500",compare,exact 2013,W2,sold+fee (online),1,yes,,,,,
96,2013,"Ford Mustang Shelby GT500",compare,exact 2013,W3,sold+fee (online),15,no,60375,54600,66956,42263,71925
97,2016,"Ford Mustang Shelby GT350R",compare,exact 2016,W1,sold+fee (online),8,no,72713,67594,77175,62475,80325
97,2016,"Ford Mustang Shelby GT350R",compare,exact 2016,W2,sold+fee (online),1,yes,,,,,
97,2016,"Ford Mustang Shelby GT350R",compare,exact 2016,W3,sold+fee (online),18,no,70980,62606,73369,47513,89775
98,2018,"Dodge Challenger Demon",compare,exact 2018,W1,mixed (17% house buyer-paid, rest sold+fee),38,no,105263,99056,110250,21788,139700
98,2018,"Dodge Challenger Demon",compare,exact 2018,W2,mixed (17% house buyer-paid, rest sold+fee),2,yes,,,,,
98,2018,"Dodge Challenger Demon",compare,exact 2018,W3,mixed (17% house buyer-paid, rest sold+fee),72,no,110513,100144,126373,21788,176000
99,2019,"BMW M4 Competition",coverage,adjacent years pooled (2017-2020),W1,mixed (2% house buyer-paid, rest sold+fee),33,no,47513,36750,56175,21000,68250
99,2019,"BMW M4 Competition",coverage,adjacent years pooled (2017-2020),W2,mixed (2% house buyer-paid, rest sold+fee),5,yes,,,,,
99,2019,"BMW M4 Competition",coverage,adjacent years pooled (2017-2020),W3,mixed (2% house buyer-paid, rest sold+fee),57,no,48300,41738,57330,21000,168000
100,2017,"Ford Focus RS",coverage,adjacent years pooled (2015-2019),W1,sold+fee (online),13,no,30450,28088,37275,17588,44100
100,2017,"Ford Focus RS",coverage,adjacent years pooled (2015-2019),W2,sold+fee (online),1,yes,,,,,
100,2017,"Ford Focus RS",coverage,adjacent years pooled (2015-2019),W3,sold+fee (online),30,no,28350,23470,33600,17588,59867
